IP地址,端口,TLS,数据中心,国家,地区,城市,ASN,ORG,延迟(ms),速度(MB/s)
129.154.222.57,20010,TRUE,ICN,KR,Asia Pacific,Seoul,31898,ORACLE-BMC-31898,243,20.97
152.70.234.249,17029,TRUE,ICN,KR,Asia Pacific,Seoul,31898,ORACLE-BMC-31898,270,20.66
152.70.246.67,45696,TRUE,SIN,SG,Asia Pacific,Singapore,31898,ORACLE-BMC-31898,909,20.51
129.154.192.228,55040,TRUE,SIN,SG,Asia Pacific,Singapore,31898,ORACLE-BMC-31898,520,19.31
64.110.73.13,50829,TRUE,SIN,SG,Asia Pacific,Singapore,31898,ORACLE-BMC-31898,606,17.63
140.238.2.153,59408,TRUE,ICN,KR,Asia Pacific,Seoul,31898,ORACLE-BMC-31898,275,16.50
146.56.157.81,34237,TRUE,ICN,KR,Asia Pacific,Seoul,31898,ORACLE-BMC-31898,289,15.69
152.70.232.173,28756,TRUE,ICN,KR,Asia Pacific,Seoul,31898,ORACLE-BMC-31898,261,15.36
146.56.151.147,34237,TRUE,ICN,KR,Asia Pacific,Seoul,31898,ORACLE-BMC-31898,302,15.26
152.70.251.80,22802,TRUE,SIN,SG,Asia Pacific,Singapore,31898,ORACLE-BMC-31898,963,14.81
193.123.251.96,21221,TRUE,KIX,JP,Asia Pacific,Osaka,31898,ORACLE-BMC-31898,343,14.59
146.56.146.8,43265,TRUE,SIN,SG,Asia Pacific,Singapore,31898,ORACLE-BMC-31898,654,13.13
130.162.137.190,20010,TRUE,ICN,KR,Asia Pacific,Seoul,31898,ORACLE-BMC-31898,308,11.16
129.154.192.48,21650,TRUE,ICN,KR,Asia Pacific,Seoul,31898,ORACLE-BMC-31898,218,10.84
140.238.19.251,10261,TRUE,ICN,KR,Asia Pacific,Seoul,31898,ORACLE-BMC-31898,292,10.48
129.154.212.181,20309,TRUE,NRT,JP,Asia Pacific,Tokyo,31898,ORACLE-BMC-31898,337,10.46
132.226.234.240,20010,TRUE,ICN,KR,Asia Pacific,Seoul,31898,ORACLE-BMC-31898,288,8.32
130.162.136.205,20010,TRUE,ICN,KR,Asia Pacific,Seoul,31898,ORACLE-BMC-31898,270,8.24
146.56.177.67,61153,TRUE,SIN,SG,Asia Pacific,Singapore,31898,ORACLE-BMC-31898,576,7.13
130.162.155.205,34565,TRUE,NRT,JP,Asia Pacific,Tokyo,31898,ORACLE-BMC-31898,435,7.05
152.70.254.227,33688,TRUE,SIN,SG,Asia Pacific,Singapore,31898,ORACLE-BMC-31898,598,6.13
192.9.165.253,20001,TRUE,SYD,AU,Oceania,Sydney,31898,ORACLE-BMC-31898,617,5.69
129.154.195.74,15000,TRUE,SJC,US,North America,San Jose,31898,ORACLE-BMC-31898,664,5.52
193.122.126.64,53777,TRUE,HKG,HK,Asia Pacific,Hong Kong,31898,ORACLE-BMC-31898,756,5.31
146.56.188.95,48888,TRUE,HKG,HK,Asia Pacific,Hong Kong,31898,ORACLE-BMC-31898,646,5.00
140.238.10.144,23333,TRUE,HKG,HK,Asia Pacific,Hong Kong,31898,ORACLE-BMC-31898,839,4.22
140.238.10.44,23253,TRUE,SIN,SG,Asia Pacific,Singapore,31898,ORACLE-BMC-31898,573,4.21
140.238.7.57,9999,TRUE,ICN,KR,Asia Pacific,Seoul,31898,ORACLE-BMC-31898,256,4.10
146.56.141.168,47590,TRUE,ICN,KR,Asia Pacific,Seoul,31898,ORACLE-BMC-31898,277,3.96
132.226.21.147,29772,TRUE,SIN,SG,Asia Pacific,Singapore,31898,ORACLE-BMC-31898,473,3.88
129.154.211.201,33155,TRUE,ICN,KR,Asia Pacific,Seoul,31898,ORACLE-BMC-31898,261,3.25
132.226.227.253,29520,TRUE,NRT,JP,Asia Pacific,Tokyo,31898,ORACLE-BMC-31898,371,3.03
146.56.146.8,11370,TRUE,SIN,SG,Asia Pacific,Singapore,31898,ORACLE-BMC-31898,989,2.98
64.110.72.246,20010,TRUE,ICN,KR,Asia Pacific,Seoul,31898,ORACLE-BMC-31898,277,2.88
193.123.243.33,43956,TRUE,ICN,KR,Asia Pacific,Seoul,31898,ORACLE-BMC-31898,293,2.76
132.226.20.20,47494,TRUE,ICN,KR,Asia Pacific,Seoul,31898,ORACLE-BMC-31898,476,2.56
165.1.65.220,55200,TRUE,SJC,US,North America,San Jose,31898,ORACLE-BMC-31898,750,2.17
193.123.248.251,22388,TRUE,HKG,HK,Asia Pacific,Hong Kong,31898,ORACLE-BMC-31898,581,2.10
146.56.138.226,38178,TRUE,HKG,HK,Asia Pacific,Hong Kong,31898,ORACLE-BMC-31898,488,2.06
193.123.247.125,34064,TRUE,NRT,JP,Asia Pacific,Tokyo,31898,ORACLE-BMC-31898,394,1.92
132.145.86.127,23696,TRUE,HKG,HK,Asia Pacific,Hong Kong,31898,ORACLE-BMC-31898,581,1.80
146.56.161.141,45593,TRUE,SIN,SG,Asia Pacific,Singapore,31898,ORACLE-BMC-31898,574,1.79
138.2.231.22,33333,TRUE,SJC,US,North America,San Jose,31898,ORACLE-BMC-31898,777,1.75
165.1.68.239,34237,TRUE,SJC,US,North America,San Jose,31898,ORACLE-BMC-31898,717,1.67
138.2.237.178,58449,TRUE,SJC,US,North America,San Jose,31898,ORACLE-BMC-31898,744,1.57
152.67.234.175,44333,TRUE,SJC,US,North America,San Jose,31898,ORACLE-BMC-31898,722,1.54
132.226.171.158,9527,TRUE,SIN,SG,Asia Pacific,Singapore,31898,ORACLE-BMC-31898,532,1.50
129.146.71.213,10102,TRUE,LAX,US,North America,Los Angeles,31898,ORACLE-BMC-31898,753,1.49
146.56.146.7,21409,TRUE,ICN,KR,Asia Pacific,Seoul,31898,ORACLE-BMC-31898,292,1.48
152.70.245.66,12693,TRUE,HKG,HK,Asia Pacific,Hong Kong,31898,ORACLE-BMC-31898,463,1.44
131.186.27.112,2096,TRUE,HKG,HK,Asia Pacific,Hong Kong,31898,ORACLE-BMC-31898,544,1.35
141.148.186.128,29276,TRUE,LAX,US,North America,Los Angeles,31898,ORACLE-BMC-31898,898,1.34
131.186.17.145,34237,TRUE,ICN,KR,Asia Pacific,Seoul,31898,ORACLE-BMC-31898,264,1.09
131.186.25.28,8444,TRUE,ICN,KR,Asia Pacific,Seoul,31898,ORACLE-BMC-31898,684,0.91
129.146.55.38,3000,TRUE,LAX,US,North America,Los Angeles,31898,ORACLE-BMC-31898,958,0.82
146.56.139.40,45139,TRUE,ICN,KR,Asia Pacific,Seoul,31898,ORACLE-BMC-31898,775,0.75
193.122.115.74,52314,TRUE,ICN,KR,Asia Pacific,Seoul,31898,ORACLE-BMC-31898,245,0.74
131.186.31.253,36688,TRUE,HKG,HK,Asia Pacific,Hong Kong,31898,ORACLE-BMC-31898,704,0.70
129.146.71.213,10202,TRUE,LAX,US,North America,Los Angeles,31898,ORACLE-BMC-31898,788,0.64
129.146.198.253,28443,TRUE,LAX,US,North America,Los Angeles,31898,ORACLE-BMC-31898,771,0.63
165.1.68.91,9443,TRUE,SJC,US,North America,San Jose,31898,ORACLE-BMC-31898,729,0.63
193.123.247.125,50576,TRUE,NRT,JP,Asia Pacific,Tokyo,31898,ORACLE-BMC-31898,432,0.60
165.1.79.60,8443,TRUE,SJC,US,North America,San Jose,31898,ORACLE-BMC-31898,710,0.59
132.226.21.147,56975,TRUE,ICN,KR,Asia Pacific,Seoul,31898,ORACLE-BMC-31898,237,0.59
129.159.39.1,34237,TRUE,SJC,US,North America,San Jose,31898,ORACLE-BMC-31898,770,0.53
192.9.141.240,4443,TRUE,SJC,US,North America,San Jose,31898,ORACLE-BMC-31898,704,0.50
143.47.243.144,8443,TRUE,LHR,GB,Europe,London,31898,ORACLE-BMC-31898,893,0.49
129.146.137.153,29460,TRUE,LAX,US,North America,Los Angeles,31898,ORACLE-BMC-31898,721,0.45
150.230.44.13,22388,TRUE,SJC,US,North America,San Jose,31898,ORACLE-BMC-31898,815,0.44
130.61.248.6,20018,TRUE,FRA,DE,Europe,Frankfurt,31898,ORACLE-BMC-31898,842,0.42
150.136.241.40,8443,TRUE,IAD,US,North America,Ashburn,31898,ORACLE-BMC-31898,912,0.41
140.238.103.211,34237,TRUE,LHR,GB,Europe,London,31898,ORACLE-BMC-31898,900,0.30
141.144.248.193,12587,TRUE,FRA,DE,Europe,Frankfurt,31898,ORACLE-BMC-31898,973,0.28
152.70.250.80,22908,TRUE,SIN,SG,Asia Pacific,Singapore,31898,ORACLE-BMC-31898,531,0.27
141.144.202.147,23010,TRUE,AMS,NL,Europe,Amsterdam,31898,ORACLE-BMC-31898,864,0.24
141.147.16.152,8443,TRUE,FRA,DE,Europe,Frankfurt,31898,ORACLE-BMC-31898,1000,0.22
152.70.56.209,8443,TRUE,AMS,NL,Europe,Amsterdam,31898,ORACLE-BMC-31898,833,0.21
158.101.169.13,8443,TRUE,FRA,DE,Europe,Frankfurt,31898,ORACLE-BMC-31898,831,0.19
146.56.47.202,26872,TRUE,NRT,JP,Asia Pacific,Tokyo,31898,ORACLE-BMC-31898,413,0.18
152.70.234.249,21847,TRUE,ICN,KR,Asia Pacific,Seoul,31898,ORACLE-BMC-31898,291,0.18
130.162.252.219,8444,TRUE,FRA,DE,Europe,Frankfurt,31898,ORACLE-BMC-31898,994,0.17
141.147.47.32,8443,TRUE,FRA,DE,Europe,Frankfurt,31898,ORACLE-BMC-31898,890,0.16
150.136.117.14,4242,TRUE,IAD,US,North America,Ashburn,31898,ORACLE-BMC-31898,879,0.16
129.153.214.71,16666,TRUE,LAX,US,North America,Los Angeles,31898,ORACLE-BMC-31898,866,0.15
141.147.40.44,8443,TRUE,FRA,DE,Europe,Frankfurt,31898,ORACLE-BMC-31898,988,0.15
192.18.159.164,36545,TRUE,YYZ,CA,North America,Toronto,31898,ORACLE-BMC-31898,986,0.14
132.145.54.84,8443,TRUE,LHR,GB,Europe,London,31898,ORACLE-BMC-31898,983,0.14
192.9.241.4,34237,TRUE,SJC,US,North America,San Jose,31898,ORACLE-BMC-31898,710,0.14
192.18.149.159,8080,TRUE,YYZ,CA,North America,Toronto,31898,ORACLE-BMC-31898,845,0.13
132.145.238.168,12587,TRUE,FRA,DE,Europe,Frankfurt,31898,ORACLE-BMC-31898,816,0.11
152.70.104.78,34237,TRUE,NRT,JP,Asia Pacific,Tokyo,31898,ORACLE-BMC-31898,846,0.11
193.122.102.79,18161,TRUE,ICN,KR,Asia Pacific,Seoul,31898,ORACLE-BMC-31898,275,0.10
132.145.91.226,15238,TRUE,SIN,SG,Asia Pacific,Singapore,31898,ORACLE-BMC-31898,514,0.10
141.145.206.16,8443,TRUE,CDG,FR,Europe,Paris,31898,ORACLE-BMC-31898,887,0.08
129.146.74.21,7443,TRUE,LAX,US,North America,Los Angeles,31898,ORACLE-BMC-31898,774,0.07
130.162.144.178,38503,TRUE,HKG,HK,Asia Pacific,Hong Kong,31898,ORACLE-BMC-31898,529,0.07
140.238.31.153,15914,TRUE,ICN,KR,Asia Pacific,Seoul,31898,ORACLE-BMC-31898,231,0.07
146.56.162.8,20966,TRUE,SIN,SG,Asia Pacific,Singapore,31898,ORACLE-BMC-31898,545,0.07
138.2.231.22,34484,TRUE,SJC,US,North America,San Jose,31898,ORACLE-BMC-31898,786,0.06
131.186.20.178,24960,TRUE,SIN,SG,Asia Pacific,Singapore,31898,ORACLE-BMC-31898,582,0.05
192.9.177.204,28553,TRUE,SYD,AU,Oceania,Sydney,31898,ORACLE-BMC-31898,628,0.04
152.67.0.71,4434,TRUE,BOM,IN,Asia Pacific,Mumbai,31898,ORACLE-BMC-31898,949,0.03
193.122.110.164,25800,TRUE,SIN,SG,Asia Pacific,Singapore,31898,ORACLE-BMC-31898,559,0.02
152.69.219.31,41746,TRUE,SIN,SG,Asia Pacific,Singapore,31898,ORACLE-BMC-31898,891,0.02
168.138.161.149,35642,TRUE,SIN,SG,Asia Pacific,Singapore,31898,ORACLE-BMC-31898,913,0.02
138.2.10.88,8443,TRUE,NRT,JP,Asia Pacific,Tokyo,31898,ORACLE-BMC-31898,864,0.02
168.138.170.211,53702,TRUE,SIN,SG,Asia Pacific,Singapore,31898,ORACLE-BMC-31898,920,0.02
164.152.111.148,34237,TRUE,ORD,US,North America,Chicago,31898,ORACLE-BMC-31898,916,0.02
146.56.134.180,34237,TRUE,ICN,KR,Asia Pacific,Seoul,31898,ORACLE-BMC-31898,272,0.02
64.110.91.111,22077,TRUE,HKG,HK,Asia Pacific,Hong Kong,31898,ORACLE-BMC-31898,774,0.02
146.56.162.244,36969,TRUE,SIN,SG,Asia Pacific,Singapore,31898,ORACLE-BMC-31898,570,0.02
146.56.37.60,20018,TRUE,SEA,US,North America,Seattle,31898,ORACLE-BMC-31898,979,0.02
